experiment,dataset,seed,model,method,alpha,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,n_train,n_train_used,notes,mean_angle_deg,logit_variance
exp3,synthetic,2,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1765,1193,6807,235,0.8825,0.149125,0.850875,0.11750000000000005,0.5966869506423259,0.8825,0.7119806373537717,0.8572,0.1428,0.9424853125000001,0.8393820762793371,0.10368213337506117,0.3324699981482775,0.0,22344.82758620689,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,2,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1872,1922,6078,128,0.936,0.24025,0.75975,0.06399999999999995,0.4934106483921982,0.936,0.6461857093545047,0.795,0.205,0.9424795625000001,0.8393888627448216,0.14415347595803701,0.4511324483088745,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,2,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1934,2812,5188,66,0.967,0.3515,0.6485,0.03300000000000003,0.40750105351875265,0.967,0.5733768158908983,0.7122,0.2878,0.94245925,0.8393205173536951,0.20074937769638232,0.6231065240207452,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,2,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1977,4112,3888,23,0.9885,0.514,0.486,0.011499999999999955,0.3246838561340121,0.9885,0.48881196686858697,0.5865,0.4135,0.94238575,0.8391419408371608,0.29604953777934023,0.9387483361907493,0.0,9316.29392971246,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,3,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1732,1034,6966,268,0.866,0.12925,0.87075,0.134,0.6261749819233551,0.866,0.726814939152329,0.8698,0.1302,0.942497125,0.8394963024629556,0.09435239177716966,0.30519619981373325,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,3,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1384,325,7675,616,0.692,0.040625,0.959375,0.30800000000000005,0.8098303101228789,0.692,0.7462928012941493,0.9059,0.0941,0.9425531875000001,0.8395042890897658,0.06939581359774555,0.23087696955783427,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,3,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1768,1214,6786,232,0.884,0.15175,0.84825,0.11599999999999999,0.5928906773977196,0.884,0.7097551184263348,0.8554,0.1446,0.9425566250000001,0.8395365769957308,0.10396177929008281,0.33352412214456423,0.0,22344.827586206895,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,3,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1867,1917,6083,133,0.9335,0.239625,0.760375,0.0665,0.49339323467230445,0.9335,0.6455739972337483,0.795,0.205,0.9425499374999999,0.8395488510076038,0.143732060896556,0.4513525169019115,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,3,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1928,2768,5232,72,0.964,0.346,0.654,0.03600000000000003,0.41056218057921634,0.964,0.5758661887694145,0.716,0.284,0.942542125,0.8395418666350234,0.19880648844168244,0.6209585546022794,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,3,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1975,4029,3971,25,0.9875,0.503625,0.496375,0.012499999999999956,0.32894736842105265,0.9875,0.4935032483758121,0.5946,0.4054,0.94250475,0.8394117342464167,0.2907140162960278,0.9298249579340944,0.0,9316.293929712463,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,4,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1737,1034,6966,263,0.8685,0.12925,0.87075,0.13149999999999995,0.6268495128112594,0.8685,0.7281492349612241,0.8703,0.1297,0.9425184375000001,0.8397651672868512,0.09412880040691783,0.3049439973007125,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,4,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1368,315,7685,632,0.684,0.039375,0.960625,0.31599999999999995,0.8128342245989305,0.684,0.7428726581591094,0.9053,0.0947,0.942616125,0.8400026391518989,0.06929442616704205,0.23068071573944862,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,4,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1765,1189,6811,235,0.8825,0.148625,0.851375,0.11750000000000005,0.5974949221394719,0.8825,0.7125555106984255,0.8576,0.1424,0.9425707500000001,0.8399740027250177,0.10280638345021625,0.33019355864368644,0.0,22344.827586206888,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,4,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1865,1904,6096,135,0.9325,0.238,0.762,0.0675,0.49482621384982756,0.9325,0.6465591957011614,0.7961,0.2039,0.9425390625,0.839935023513986,0.1424295826482203,0.4469572367576744,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,4,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1931,2784,5216,69,0.9655,0.348,0.652,0.034499999999999975,0.4095440084835631,0.9655,0.5751303052866716,0.7147,0.2853,0.942498,0.839898063816763,0.1977468875272617,0.6161915269577259,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,4,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1975,4029,3971,25,0.9875,0.503625,0.496375,0.012499999999999956,0.32894736842105265,0.9875,0.4935032483758121,0.5946,0.4054,0.942438125,0.8398645845467273,0.2899845369493629,0.9241405441866697,0.0,9316.293929712458,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,5,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1736,1023,6977,264,0.868,0.127875,0.872125,0.132,0.6292134831460674,0.868,0.7295650346711494,0.8713,0.1287,0.942243375,0.8391369598393459,0.09383762780975312,0.30373859020455085,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,5,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1368,313,7687,632,0.684,0.039125,0.960875,0.31599999999999995,0.8138013087447947,0.684,0.7432762836185819,0.9055,0.0945,0.9425305625000001,0.8397835078779177,0.06935687785112817,0.23081476901171982,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,5,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1768,1190,6810,232,0.884,0.14875,0.85125,0.11599999999999999,0.5977011494252874,0.884,0.7131908027430416,0.8578,0.1422,0.9425145625,0.8396932877771394,0.10322088324372516,0.3312252882719125,0.0,22344.827586206895,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,5,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1866,1916,6084,134,0.933,0.2395,0.7605,0.06699999999999995,0.49338974087784243,0.933,0.6454514008993428,0.795,0.205,0.9425022500000001,0.839659181584638,0.1433919134619069,0.44927650502717614,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,5,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1930,2815,5185,70,0.965,0.351875,0.648125,0.03500000000000003,0.4067439409905163,0.965,0.5722757598220904,0.7115,0.2885,0.9424940625,0.8396368869921755,0.19956954047392142,0.6204175743890844,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,5,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1976,4083,3917,24,0.988,0.510375,0.489625,0.01200000000000001,0.3261264235022281,0.988,0.49038342226082643,0.5893,0.4107,0.9425021250000001,0.839699714307204,0.2933573035062463,0.9327031608033776,0.0,9316.293929712458,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,6,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1732,1002,6998,268,0.866,0.12525,0.87475,0.134,0.6335040234089246,0.866,0.7317279256442755,0.873,0.127,0.942377,0.8396248343279867,0.09245769443540261,0.29983346982619474,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,6,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1367,321,7679,633,0.6835,0.040125,0.959875,0.3165,0.8098341232227488,0.6835,0.7413232104121475,0.9046,0.0954,0.9425414375000001,0.8397655453249672,0.06936773024901088,0.2308479530237024,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,6,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1762,1185,6815,238,0.881,0.148125,0.851875,0.119,0.5978961655921275,0.881,0.7123509197493431,0.8577,0.1423,0.9425386874999999,0.8397145258996622,0.10244755688178796,0.3291303827901962,0.0,22344.827586206895,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,6,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1862,1895,6105,138,0.931,0.236875,0.763125,0.06899999999999995,0.49560819803034334,0.931,0.6468646864686468,0.7967,0.2033,0.942524875,0.8396894151104448,0.14183022437593049,0.4449472607429634,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,6,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1930,2774,5226,70,0.965,0.34675,0.65325,0.03500000000000003,0.41028911564625853,0.965,0.5757756563245824,0.7156,0.2844,0.9425186875,0.8396610720900949,0.197738474689848,0.6141854986534779,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,6,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1977,4107,3893,23,0.9885,0.513375,0.486625,0.011499999999999955,0.3249506903353057,0.9885,0.48911429985155863,0.587,0.413,0.9425079374999998,0.8396201674775008,0.2934157739148883,0.9273684036657341,0.0,9316.293929712463,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,7,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1738,1039,6961,262,0.869,0.129875,0.870125,0.131,0.6258552394670508,0.869,0.7276533389156374,0.8699,0.1301,0.942335375,0.8394226916776641,0.09487374521584832,0.30691009153507487,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,7,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1367,318,7682,633,0.6835,0.03975,0.96025,0.3165,0.8112759643916914,0.6835,0.7419267299864315,0.9049,0.0951,0.9425428750000001,0.8398744098253438,0.06933728567680142,0.23076726314209842,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,7,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1771,1214,6786,229,0.8855,0.15175,0.84825,0.11450000000000005,0.5932998324958124,0.8855,0.710531594784353,0.8557,0.1443,0.942541375,0.8399249848367073,0.10405009804643342,0.3336246567365011,0.0,22344.82758620689,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,7,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1869,1936,6064,131,0.9345,0.242,0.758,0.0655,0.4911957950065703,0.9345,0.6439276485788114,0.7933,0.2067,0.942533875,0.8399108134936117,0.1447874166790712,0.45318894365014123,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,7,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1932,2827,5173,68,0.966,0.353375,0.646625,0.03400000000000003,0.4059676402605589,0.966,0.571682201509099,0.7105,0.2895,0.9425260000000001,0.8399186830581775,0.201495879744466,0.6261017783001316,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,7,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1976,4113,3887,24,0.988,0.514125,0.485875,0.01200000000000001,0.3245196255542782,0.988,0.48856471751761654,0.5863,0.4137,0.94251925,0.8398952668904683,0.29559897437844734,0.9408608331436675,0.0,9316.293929712458,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,8,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1743,1053,6947,257,0.8715,0.131625,0.868375,0.12849999999999995,0.6233905579399142,0.8715,0.7268557130942452,0.869,0.131,0.9426045624999999,0.8396035014693266,0.09542904893981204,0.3086153086725958,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,8,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1376,323,7677,624,0.688,0.040375,0.959625,0.31200000000000006,0.8098881695114774,0.688,0.7439848607731819,0.9053,0.0947,0.9426470625000001,0.8397226786278156,0.06932486337339316,0.2307371055100079,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,8,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1775,1231,6769,225,0.8875,0.153875,0.846125,0.11250000000000004,0.5904856952761144,0.8875,0.7091490211745904,0.8544,0.1456,0.9426265625,0.8395695618937228,0.10484299854935598,0.33623128324156115,0.0,22344.827586206888,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,8,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1875,1962,6038,125,0.9375,0.24525,0.75475,0.0625,0.48866301798279904,0.9375,0.6424533150591057,0.7913,0.2087,0.9426157500000001,0.8394895446870084,0.14557167173701618,0.4564243835633424,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,8,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1930,2831,5169,70,0.965,0.353875,0.646125,0.03500000000000003,0.4053770216341105,0.965,0.5709214613222896,0.7099,0.2901,0.9426098124999999,0.8394139067486658,0.20155043856403013,0.6285392160471183,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,8,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1977,4072,3928,23,0.9885,0.509,0.491,0.011499999999999955,0.32683088113737807,0.9885,0.4912411479686918,0.5905,0.4095,0.9425866249999999,0.8392710950511727,0.2940100510815029,0.9398338762237203,0.0,9316.29392971246,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,9,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1728,1009,6991,272,0.864,0.126125,0.873875,0.136,0.6313481914504933,0.864,0.7295756808106396,0.8719,0.1281,0.9425198125000002,0.8395837837520083,0.09307725654956207,0.3017451288359839,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,9,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1363,312,7688,637,0.6815,0.039,0.961,0.3185,0.8137313432835821,0.6815,0.7417687074829932,0.9051,0.0949,0.9425985000000001,0.83982136392753,0.06932697239671862,0.23073514279236065,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,9,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1766,1190,6810,234,0.883,0.14875,0.85125,0.11699999999999999,0.5974289580514208,0.883,0.7126715092816788,0.8576,0.1424,0.9425721874999999,0.8397686623821556,0.10313715305255484,0.33097740237948964,0.0,22344.827586206895,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,9,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1867,1924,6076,133,0.9335,0.2405,0.7595,0.0665,0.4924821946715906,0.9335,0.6447936453116906,0.7943,0.2057,0.9425637499999999,0.8397317060302271,0.14367096724379017,0.4494052038446249,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,9,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1932,2829,5171,68,0.966,0.353625,0.646375,0.03400000000000003,0.4057971014492754,0.966,0.5715130897796185,0.7103,0.2897,0.9425536875,0.8396535999471645,0.20078374347157446,0.6217520519458393,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,9,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1977,4163,3837,23,0.9885,0.520375,0.479625,0.011499999999999955,0.3219869706840391,0.9885,0.48574938574938575,0.5814,0.4186,0.9425313125,0.8395402071610286,0.29724437360290623,0.9385125639623296,0.0,9316.293929712458,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,breast_cancer,0,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,38,18,132,0,1.0,0.12,0.88,0.0,0.6785714285714286,1.0,0.8085106382978723,0.9042553191489362,0.09574468085106383,0.9975438596491228,0.9923346828609986,0.052611924473475374,0.1560499007498153,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,0,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,37,0,150,1,0.9736842105263158,0.0,1.0,0.02631578947368418,1.0,0.9736842105263158,0.9866666666666667,0.9946808510638298,0.005319148936170213,0.9992982456140351,0.9974937343358395,0.013889289291628398,0.0596918407237573,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,0,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,38,10,140,0,1.0,0.06666666666666667,0.9333333333333333,0.0,0.7916666666666666,1.0,0.8837209302325582,0.9468085106382979,0.05319148936170213,0.9992982456140351,0.9974937343358395,0.035566610520479096,0.11061888239990152,0.0,212.8004535147392,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,0,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,38,20,130,0,1.0,0.13333333333333333,0.8666666666666667,0.0,0.6551724137931034,1.0,0.7916666666666666,0.8936170212765957,0.10638297872340426,0.9989473684210527,0.9961442066705224,0.0532874261700546,0.15398650904516722,0.0,143.48197343453518,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,0,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,26,124,0,1.0,0.17333333333333334,0.8266666666666667,0.0,0.59375,1.0,0.7450980392156863,0.8617021276595744,0.13829787234042554,0.9992982456140351,0.9973346828609985,0.07670554630638947,0.21650829585455686,0.0,108.47174727243126,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,0,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,31,119,0,1.0,0.20666666666666667,0.7933333333333333,0.0,0.5507246376811594,1.0,0.7102803738317757,0.8351063829787234,0.16489361702127658,0.999298245614035,0.9973346828609985,0.11428008120077807,0.33606587464598314,0.0,88.54746328262527,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,1,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,37,11,139,1,0.9736842105263158,0.07333333333333333,0.9266666666666666,0.02631578947368418,0.7708333333333334,0.9736842105263158,0.8604651162790697,0.9361702127659575,0.06382978723404255,0.9963157894736842,0.9888801644303825,0.044576435316932846,0.14044795992679637,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,1,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,36,4,146,2,0.9473684210526315,0.02666666666666667,0.9733333333333334,0.052631578947368474,0.9,0.9473684210526315,0.9230769230769231,0.9680851063829787,0.031914893617021274,0.9978947368421053,0.9927395126293533,0.014233645460920827,0.05399221522766616,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,1,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,38,6,144,0,1.0,0.04,0.96,0.0,0.8636363636363636,1.0,0.926829268292683,0.9680851063829787,0.031914893617021274,0.9978947368421052,0.9927395126293533,0.024861947272734514,0.08164092040570928,0.0,212.80045351473922,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,1,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,38,6,144,0,1.0,0.04,0.96,0.0,0.8636363636363636,1.0,0.926829268292683,0.9680851063829787,0.031914893617021274,0.9978947368421053,0.9927395126293533,0.0330946437814849,0.10477582586013907,0.0,143.48197343453518,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,1,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,12,138,0,1.0,0.08,0.92,0.0,0.76,1.0,0.8636363636363636,0.9361702127659575,0.06382978723404255,0.9978947368421052,0.9927395126293533,0.04578926393764266,0.14067110989997428,0.0,108.47174727243126,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,1,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,23,127,0,1.0,0.15333333333333332,0.8466666666666667,0.0,0.6229508196721312,1.0,0.7676767676767676,0.8776595744680851,0.12234042553191489,0.9978947368421052,0.9927395126293533,0.07289055557463725,0.21906116389437555,0.0,88.54746328262526,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,2,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,38,7,143,0,1.0,0.04666666666666667,0.9533333333333334,0.0,0.8444444444444444,1.0,0.9156626506024096,0.9627659574468085,0.03723404255319149,0.9973684210526316,0.9907074597061759,0.03181518793696262,0.11049512573039393,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
